inspection_id,name,aka_name,facility_type,risk,address,city,state,zip,date,inspection_type,results,violations,latitude,longitude,location
2370283,CHICAGO WINGS AROUND THE WORLD,CHICAGO WINGS AROUND THE WORLD,Restaurant,Risk 2 (Medium),748 W 61ST ST ,CHICAGO,IL,60621,05/07/2020,Canvass,Out of Business,,41.783502980089736,-87.64438637632864,"(-87.64438637632864, 41.783502980089736)"
2370260,#1 DELI,#1 DELI,Grocery Store,Risk 1 (High),6901 S NORMAL BLVD ,CHICAGO,IL,60621,05/07/2020,Complaint,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO SIGNED EMPLOYEES HEALTH POLICIES.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-010) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINK IN PREP AREA NOT ACCESSIBLE.OBSERVED 6 CASES OF CHICKEN,A GARBAGE CAN STORED ON FLOOR IN FRONT OF SINK .ALSO. A GARDEN HOSE ATTACHED TO FAUCET OF HAND SINK.INSTRUCTED MANAGER TO REMOVE GARDEN HOSE,ARTICLES FROM IN FRONT OF SINK.KEEP ACCESSIBLE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-030(C) | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED MANAGER WASHING MULTIUSE UTENSILS AT 3- COMPARTMENT SINK AND NOT SANITIZING THEM.HE'S USING A SCRUBBER TO WASH DISHES AND RINSE UNDER RUNNING WATER AND PUTTING UTENSILS ON OVERHEAD SHELVES.INSTRUCTED MANAGER ON HOW TO PROPERLY SET-UP 3- COMPARTMENT SINK TO WASH,RINSE AND SANITIZE MULTIUSE UTENSILS AND THEN AIR DRY BEFORE STORING ON SHELVES.(PRIORITY 7-38-025) | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED NO DATE MARKINGS ON TCS READY TO EAT FOODS BEING HELD FOR MORE THAN 24 HOURS INSIDE OF COOLERS.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO PROBE THERMOMETER FOR TAKING TEMPERATURES OF FOOD.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPX.'1-2' GAP IN CENTER OF DOUBLE ENTRY DOORS.MUST MAKE DOOR TIGHT FITTING. | 40. PERSONAL CLEANLINESS - Comments: MUST PROVIDE HAIR RESTRAINTS FOR ALL FOOD HANDLERS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS ON CUTTING BOARDS AND COOLERS IN A SANITIZING SOLUTION WHEN NOT IN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REMOVE FOIL FROM PREP TABLES,CARDBOARD FROM INSIDE OF DELI COOLER.MUST ELIMINATE CRATES IN COOLERS AND THROUGHOUT PREMISES FOR STORAGE AND PROVIDE ADEQUATE SHELVING UNITS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE WORN CUTTING BOARDS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP ON FRYER CABINETS,GRILL TABLE.MUST DEFROST ICE CREAM FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DIRT BUILD UP FROM WALLS AND DOOR OF TOILET ROOM DOOR,PREP AREA,LOBBY AND WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS THROUGHOUT . | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR IN WALK IN COOLER AND FREEZER,PREP AND STORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE MISSING CEILING TILES IN PREP/DISH WASHING AREA,DAMAGED FLOOR TILES WHERE NEEDED. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST CLEAN BUILD UP AT FILTERS AND HOOD OF COOKING EQUIPMENT. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST REPLACE BURNT OUT LIGHTS AT HOOD OF COOKING EQUIPMENT. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES.MUST PROVIDE AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO FOOD ALLERGEN TRAINING FOR ALL FOOD MANAGERS.MUST PROVIDE AND MAINTAIN.",41.76886618832226,-87.63709545616062,"(-87.63709545616062, 41.76886618832226)"
2370276,ROUTE 69 PALACE,ROUTE 69 PALACE,,Risk 3 (Low),808 W 69TH ST ,CHICAGO,IL,60621,05/07/2020,Canvass,Out of Business,,41.76894196327128,-87.64490819463863,"(-87.64490819463862, 41.76894196327128)"
2370218,HYATT HOUSE/HYATT PLACE AND FOOD CT,HYATT HOUSE/HYATT PLACE AND FOOD CT,,Risk 3 (Low),1835 W HARRISON ST ,CHICAGO,IL,60612,05/06/2020,License,Not Ready,,41.87398795331432,-87.67299740933659,"(-87.67299740933659, 41.87398795331432)"
2370195,TAYLORMADE QUE,TAYLORMADE CUE,Restaurant,Risk 1 (High),6717 S HALSTED ST ,CHICAGO,IL,60621,05/06/2020,Complaint,No Entry,,41.771932734101135,-87.64443484974524,"(-87.64443484974524, 41.77193273410113)"
2370179,CELIS NUTRICION,CELIS NUTRICION,Restaurant,Risk 2 (Medium),3344 W 63RD ST ,CHICAGO,IL,60629,05/06/2020,Canvass Re-Inspection,Pass,,41.77901426474392,-87.70734216168728,"(-87.70734216168728, 41.779014264743914)"
2370175,MOBIL GAS STATION,MOBIL GAS STATION,Grocery Store,Risk 3 (Low),7059 S ASHLAND AVE ,CHICAGO,IL,60636,05/06/2020,Canvass,Out of Business,,41.765004259431706,-87.66365411321728,"(-87.66365411321728, 41.765004259431706)"
2370117,S & G GRILL,S & G GRILL,Restaurant,Risk 1 (High),3000 N LINCOLN AVE ,CHICAGO,IL,60657,05/05/2020,Short Form Complaint,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED ACCUMULATED DUST BUILD UP ON PREP AREA REACH IN COOLERS CONDENSERS. MUST CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED AT MOP SINK. MUST PROVIDE AND MAKE VISIBLE A BACKFLOW PREVENTION DEVICE FOR MOP SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED TRASH RECEPTACLE IN WOMENS WASHROOM. MUST PROVIDE.",41.93612294441291,-87.66391410739975,"(-87.66391410739975, 41.93612294441291)"
2370106,"KC'S ACADEMY OF EARLY CHILDHOOD EDUCATION, INC",KC'S ACADEMY OF EARLY CHILDHOOD EDUCATION,Daycare Above and Under 2 Years,Risk 1 (High),3110 N SHEFFIELD AVE ,CHICAGO,IL,60657,05/05/2020,License,Pass,,41.938426740635464,-87.65420203147255,"(-87.65420203147254, 41.93842674063546)"
2370099,JIMMYS BEST MIXED GRILL,JIMMYS BEST MIXED GRILL,Restaurant,Risk 1 (High),200 W 103RD ST ,CHICAGO,IL,60628,05/04/2020,Short Form Complaint,Pass w/ Conditions,"21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER HOT TEMPERATURE OF COOKED CHICKEN AT 69.0F IN PRE AREA. INSTRUCTED TO MAINTAIN HOT (TCS) FOODS AT 135.0F OR HIGHER. APPROX 5-LBS OF CHICKEN REMOVED AND DISCARDED AT COST APPROX $10.00-COS PRIORITY VIOLATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN WORKING THERMOMETERS INSIDE THE PREP COOLERS IN THE FRONT | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED A FEW DAMAGED CEILING TILES AND ALSO DIRTY ONES. MUST REPLACE AND NEEDED AND CLEAN OTHERS | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED MANAGER TO COMPLY WITH THE IDPH FOOD HANDLER REQUIREMENTS OR CITATIONS WILL FOLLOW",41.70721035847279,-87.62835881151437,"(-87.62835881151437, 41.707210358472786)"
